Farm_ID,Season,Avg_Temperature,Total_Rainfall,Sunlight_Hours,Soil_pH,Fertilizer_Used, Pesticide_Used,Tomato_Yield
,,,,,,,,
F001,Spring,18.2,45.1,7.8,6.2,120,Low,22.1
F002,Spring,19.5,38.7,8.2,6.5,135,Low,24.3
F003,Spring,17.8,52.3,6.9,5.8,110,High,18.7
F004,Spring,20.1,35.6,8.5,6.7,145,Low,26.2
F005,Spring,16.5,58.9,6.2,5.6,105,High,16.4
F006,Summer,25.3,28.4,9.8,6.4,155,Low,31.5
F007,Summer,26.8,22.1,10.2,6.8,165,Low,34.2
F008,Summer,24.7,35.2,8.9,6.1,140,High,27.8
F009,Summer,27.2,18.9,10.5,7,170,Low,36.1
F010,Summer,23.9,42.7,8.1,5.9,130,High,24.9
F011,Fall,15.8,65.3,5.9,6.3,115,Low,19.8
F012,Fall,14.2,72.1,5.2,6,100,High,14.3
F013,Fall,16.5,58.7,6.5,6.5,125,Low,21.5
F014,Fall,13.9,78.4,4.8,5.7,95,High,12.1
F015,Fall,15.1,68.9,6.1,6.2,110,Low,18.2
F016,Spring,19.8,36.2,8.3,6.6,140,Low,25.7
F017,Spring,18.7,48.5,7.2,6.1,125,High,20.8
F018,Spring,20.5,32.1,8.8,6.9,150,Low,27.9
F019,Summer,26.1,25.3,9.9,6.7,160,Low,33.1
F020,Summer,25.8,29.8,9.3,6.2,145,High,28.5
F021,Summer,27.5,20.5,10.3,7.1,175,Low,37.2
F022,Summer,24.2,38.9,8.4,6,135,High,26.1
F023,Fall,16.2,62.8,6.3,6.4,120,Low,20.4
F024,Fall,14.8,70.5,5.5,5.8,105,High,15.7
F025,Fall,15.9,60.1,6.7,6.6,130,Low,22.8
F026,Spring,19.2,41.3,7.9,6.3,130,Low,23.5
F027,Spring,18.1,50.7,7.1,5.9,115,High,19.2
F028,Spring,20.8,33.8,8.6,6.8,155,Low,28.4
F029,Summer,26.5,23.7,10,6.9,165,Low,34.8
F030,Summer,25.1,32.5,9.1,6.3,140,High,27.3
F031,Summer,27.8,19.2,10.6,7.2,180,Low,38.5
F032,Summer,24.5,36.8,8.7,6.1,138,High,25.9
F033,Fall,16.8,59.2,6.4,6.5,128,Low,21.9
F034,Fall,14.5,74.8,5.1,5.8,98,High,13.5
F035,Fall,15.6,64.3,6.2,6.3,118,Low,19.1
F036,Spring,19.9,37.5,8.1,6.7,142,Low,26.1
F037,Spring,18.4,47.2,7.4,6.2,122,High,21.3
F038,Spring,20.3,34.9,8.4,6.8,148,Low,27.2
F039,Summer,26.2,24.6,9.7,6.6,158,Low,32.9
F040,Summer,25.6,30.2,9.4,6.4,143,High,29.1
F041,Summer,27.3,21.8,10.4,7,172,Low,36.8
F042,Summer,24.9,34.1,8.9,6.2,137,High,26.7
F043,Fall,16.1,63.5,6,6.4,122,Low,20.1
F044,Fall,14.9,69.7,5.6,5.9,108,High,16.2
F045,Fall,15.7,61.4,6.6,6.7,132,Low,23.1
F046,Spring,19.6,39.8,7.7,6.4,136,Low,24.8
F047,Spring,18.9,46.3,7.5,6,128,High,22.4
F048,Spring,20.6,31.5,8.7,6.9,152,Low,28.7
F049,Summer,26.7,22.9,10.1,6.8,162,Low,35.3
F050,Summer,25.3,28.7,9.2,6.5,141,High,28.9
